22-03-2014 01:27:44 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=2%20and%201%3E1 | Referer: no referer

22-03-2014 01:27:44 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=2%22%20and%20%22x%22%3D%22x | Referer: no referer

22-03-2014 01:27:44 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=2%22%20and%20%22x%22%3D%22y | Referer: no referer

22-03-2014 01:27:44 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=2%20and%201%3D1 | Referer: no referer

22-03-2014 01:27:47 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=convert%28int%2Cdb_name%28%29%29%20and%201%3D1 | Referer: no referer

22-03-2014 01:27:48 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=2%20and%20%2F*%2130000if%281%3D1%2CBENCHMARK%28386533%2CMD5%280x41%29%29%2C0%29*%2F | Referer: no referer

22-03-2014 01:27:48 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%20and%201%3D1&id=2 | Referer: no referer

22-03-2014 01:27:49 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%20and%201%3E1&id=2 | Referer: no referer

22-03-2014 01:27:49 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%27%20and%20%27x%27%3D%27x&id=2 | Referer: no referer

22-03-2014 01:27:49 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%27%20and%20%27x%27%3D%27y&id=2 | Referer: no referer

22-03-2014 01:27:49 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%22%20and%20%22x%22%3D%22x&id=2 | Referer: no referer

22-03-2014 01:27:49 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%22%20and%20%22x%22%3D%22y&id=2 | Referer: no referer

22-03-2014 01:27:50 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=9999%20and%201%3D1&id=2 | Referer: no referer

22-03-2014 01:27:51 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=convert%28int%2Cdb_name%28%29%29%20and%201%3D1&id=2 | Referer: no referer

22-03-2014 01:27:53 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%20and%20%2F*%2130000if%281%3D1%2CBENCHMARK%28386533%2CMD5%280x41%29%29%2C0%29*%2F&id=2 | Referer: no referer

22-03-2014 01:27:53 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%27%20and%20%2F*%2130000if%281%3D1%2CBENCHMARK%28386533%2CMD5%280x41%29%29%2C0%29*%2F%20and%20%27x%27%3D%27x&id=2 | Referer: no referer

22-03-2014 11:05:43 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: SiteCheck - http://downforeveryoneorjustme.com | URL: / | Referer: no referer

2-05-2014 16:07:01 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98) | URL: / | Referer: no referer

3-05-2014 10:31:35 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/index.php?page=jucatori%27%20aNd%20%277%27=%277 | Referer: no referer

3-05-2014 10:31:35 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/index.php?page=jucatori%27%20aNd%20%277%27=%272 | Referer: no referer

3-05-2014 10:31:36 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/?page=jucatori&id=2%20aNd%207=7 | Referer: no referer

3-05-2014 10:31:36 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/?page=jucatori&id=2%20aNd%207=2 | Referer: no referer

3-05-2014 10:31:37 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/?page=jucatori&id=2%27%20aNd%20%277%27=%277 | Referer: no referer

3-05-2014 10:31:37 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/?page=jucatori&id=2%27%20aNd%20%277%27=%272 | Referer: no referer

3-05-2014 10:31:39 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/?id=2&page=jucatori%27%20aNd%20%277%27=%277 | Referer: no referer

3-05-2014 10:31:39 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /play/?id=2&page=jucatori%27%20aNd%20%277%27=%272 | Referer: no referer

4-05-2014 14:11:35 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98) | URL: /play/ | Referer: no referer

18-05-2014 16:03:11 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0 (FlipboardProxy/1.1; +http://flipboard.com/browserproxy) | URL: /play/ | Referer: no referer

24-05-2014 00:25:06 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /play/? | Referer: no referer

